error, error_dot, error_int, stamp, 
-0.4636761411576549, -7.874119838184345e-06, -0.03152996491067392, 2006000000, 
-0.46367567838842666, 6.447685514583934e-06, -0.03152996655788146, 2040000000, 
-0.46064635515840713, 0.022281240944676196, -0.04719193793995262, 2108000000, 
-0.4270386530203256, 0.1870180734466216, -0.07657710557213904, 2210000000, 
-0.3954034493121361, 0.3198181659130932, -0.08725001510937908, 2312000000, 
-0.3649306872916308, 0.3044508123955628, -0.08074134969443829, 2414000000, 
-0.33498263627312297, 0.2961804560735939, -0.07448154055562851, 2516000000, 
-0.30672754077989084, 0.2853095417242155, -0.06845157877543583, 2618000000, 
-0.2949283141720516, 0.1963447161817223, -0.06369141740330443, 2720000000, 
-0.28609785697132767, 0.10112590102236849, -0.06036725241078236, 2822000000, 
-0.2791170640083263, 0.07750612825355545, -0.05848973999031597, 2924000000, 
-0.2738324776679614, 0.06012440834983453, -0.057055223108037845, 3026000000, 
-0.2634143306977575, 0.07697418289494519, -0.05551274332143506, 3128000000, 
-0.2584017135659509, 0.08792682680349932, -0.04508674957612795, 3196000000, 
-0.2430320463927112, 0.11219898466151768, -0.04334139180386377, 3298000000, 
-0.22749105423589588, 0.15152283985321074, -0.049566887365229934, 3400000000, 
-0.21192723056621843, 0.1524745873847685, -0.04640662252124813, 3502000000, 
-0.2007309441942523, 0.13117701000805676, -0.04353014757175292, 3604000000, 
-0.1885393399550942, 0.11464652260355016, -0.04088143100065841, 3706000000, 
-0.17988407580124566, 0.10219053133826789, -0.038702496476640265, 3808000000, 
-0.17336946657614294, 0.07436212440662382, -0.036841915998608823, 3910000000, 
-0.16714674818671293, 0.0624378804633957, -0.0353872197583589, 4012000000, 
-0.160810499464269, 0.06156356427389182, -0.034090216567444494, 4114000000, 
-0.15435999422971286, 0.06268016645588272, -0.032797572447887245, 4216000000, 
-0.14699827571162422, 0.06770697917963134, -0.03142747631958121, 4318000000, 
-0.13906001147965147, 0.07499991544147741, -0.029948443136627218, 4420000000, 
-0.1311736389327562, 0.07757174891601976, -0.028371770976434164, 4522000000, 
-0.12367415325004999, 0.07542087367451705, -0.026785730649047115, 4624000000, 
-0.11890728175903831, 0.07181271038835157, -0.021179454190037854, 4692000000, 
-0.11271180313811202, 0.06542051890903827, -0.020133283495008016, 4794000000, 
-0.10751926712572629, 0.055823601143686355, -0.02306140793755561, 4896000000, 
-0.10300567704393393, 0.04757904948126516, -0.02198009881692851, 4998000000, 
-0.09892778731268048, 0.04211509712277359, -0.021042785740799166, 5100000000, 
-0.09486041609977847, 0.03992774972625228, -0.020181983871034714, 5202000000, 
-0.09065406799917913, 0.04055744761520269, -0.019342074455991388, 5304000000, 
-0.08625534536744395, 0.04218171927614961, -0.0184803484037153, 5406000000, 
-0.08177891439349272, 0.043505654929835366, -0.01759080628768787, 5508000000, 
-0.0773762850161519, 0.04352480564358846, -0.01668791704484202, 5610000000, 
-0.07322936635844168, 0.04190954919142664, -0.015802150472229867, 5712000000, 
-0.06944928396480898, 0.03885784829089667, -0.014963735603079373, 5814000000, 
-0.06607000893426507, 0.0350948893341991, -0.014194908829511068, 5916000000, 
-0.06304304094859037, 0.03140315204028733, -0.013502238701641179, 6018000000, 
-0.06114178536327797, 0.028817898841388728, -0.010781107330614225, 6086000000, 
-0.05848876108424028, 0.026984841455913167, -0.010351503285779488, 6188000000, 
-0.055897897663298335, 0.02570533186264526, -0.011935934199535526, 6290000000, 
-0.05330842516641965, 0.025393803518728594, -0.011403265706149161, 6392000000, 
-0.050693084487830165, 0.025513790075824366, -0.010873159697593273, 6494000000, 
-0.04813891588877295, 0.0253407317531701, -0.010345548936925547, 6596000000, 
-0.045660714003195824, 0.0246684827678154, -0.009825504577826327, 6698000000, 
