e, e_dot, e_int, stamp, 
0.8339758679518452, -0.0016970433818027282, 0.16686305532564116, 1732896600515154697, 
0.8341992177375023, -0.0009525440962791324, 0.16684400444371555, 1732896600664742525, 
0.8342507771606208, 0.0009163640292519926, 0.16682839085666454, 1732896600755301656, 
0.8341943817291364, -1.6120027886238713e-05, 0.1668429584418173, 1732896600824825660, 
0.834101443177206, -0.0004977799447158926, 0.16683644013779753, 1732896600865998330, 
0.8341350540413965, -0.00019775895913287656, 0.1668287252631826, 1732896600915089444, 
0.8340953961837648, -2.0156644803999885e-05, 0.1668221262268245, 1732896600965661963, 
0.8340953961837648, -0.0001321928587723805, 0.16682172309392843, 1732896600965661963, 
0.8340953961837648, 0.0, 0.16681907923675296, 1732896600965661963, 
0.8248966737343215, -0.030662408164811028, 0.16620583107345677, 1732896601414634189, 
0.8248966737343215, -0.030662408164811028, 0.16559258291016052, 1732896601414634189, 
0.7967433660001076, -0.09384435911404625, 0.1631024475645834, 1732896601508621100, 
0.7806718485774966, -0.14741608385608304, 0.16015412588746172, 1732896601760532216, 
0.7806718485774966, -0.05357172474203679, 0.15720580421034006, 1732896601760532216, 
0.7483004589916634, -0.10790463195277729, 0.15397627707644376, 1732896601974540091, 
0.7060216315043718, -0.24883405691041602, 0.14899959593823545, 1732896602064583930, 
0.6862692541048048, -0.2067706829561955, 0.142706089640056, 1732896602164600639, 
0.6544700480337231, -0.171838611568829, 0.13645072890952664, 1732896602265721199, 
0.6283764157037094, -0.19297612800365127, 0.13127438118948248, 1732896602374653767, 
0.5211750826400681, -0.44431655131218345, 0.12026810309183338, 1732896602465948770, 
0.49584692389681795, -0.44176497268963816, 0.10969322814937303, 1732896602564533499, 
0.46567511786377636, -0.18499988258763903, 0.09884647496004416, 1732896602660731375, 
0.4418565650297803, -0.17996786289012542, 0.09355857378602497, 1732896602774805373, 
0.41004229620313726, -0.185442738868797, 0.08783826527311292, 1732896602865573436, 
0.3788566888510876, -0.20999958726230913, 0.08205037000560035, 1732896602964613185, 
0.3513140948221104, -0.19576067127008953, 0.07601420532508901, 1732896603060771119, 
0.21800242438265383, -0.5361808815614458, 0.06321154720372345, 1732896603175580301, 
0.17853213329088136, -0.5759398717707634, 0.04985657683304304, 1732896603265579236, 
0.13464385407580592, -0.2778619010228263, 0.03541189411662274, 1732896603364537477, 
0.08889952604936291, -0.2987753574717282, 0.02680503422773668, 1732896603461974171, 
0.040334138339155334, -0.31436571912216865, 0.017591834564288276, 1732896603576735458, 
-0.0045522403160467295, -0.3115058878846988, 0.008312094938164767, 1732896603665701453, 
-0.04838963405393337, -0.2957459079769624, -0.0008405157353883179, 1732896603764542312, 
-0.08355887547018126, -0.2633554505137818, -0.00910004998934409, 1732896603863109463, 
-0.09777197562839524, -0.1646078052482062, -0.015314699010167325, 1732896603972769767, 
