error, error_dot, error_int, stamp, 
-0.4636705408603094, -1.6805233348695397e-07, -0.03152959634327555, 9792000000, 
-0.463670551733891, -2.7422276051210467e-07, -0.03152959684876806, 9826000000, 
-0.4639633031564333, -0.0043053278841750755, -0.0315362329703477, 9860000000, 
-0.4475101353522711, 0.07634761537517297, -0.062339860890997655, 9962000000, 
-0.41759355244402135, 0.22730269957064686, -0.09037655538478534, 10064000000, 
-0.38658864568219975, 0.2986347532846634, -0.08511507867653746, 10166000000, 
-0.35573187804967726, 0.30324350193305927, -0.07887415717996107, 10268000000, 
-0.3251225560919629, 0.3013043607364552, -0.0725861294280211, 10370000000, 
-0.29548851558769895, 0.2953106003038153, -0.06639132058159505, 10472000000, 
-0.26767010814168074, 0.2816296468151086, -0.060403120227851284, 10574000000, 
-0.24200242405537092, 0.26218672319768643, -0.054750951249363036, 10676000000, 
-0.2185630340434483, 0.2407209514619238, -0.049520018504353995, 10778000000, 
-0.19730899347732633, 0.2190854440100225, -0.04473546270717789, 10880000000, 
-0.17814304786988877, 0.19813718712529177, -0.04039302512656511, 10982000000, 
-0.16088578949256077, 0.17854511757238023, -0.03647097249710476, 11084000000, 
-0.14537840850167327, 0.160610977295174, -0.03293969271876035, 11186000000, 
-0.13146005554790174, 0.1442437938463678, -0.02976524924086523, 11288000000, 
-0.1227756998604117, 0.1320827768872872, -0.022644802621565912, 11356000000, 
-0.1111298168861104, 0.12094321816439393, -0.020704049096684017, 11458000000, 
-0.10060318135519308, 0.10868881620205206, -0.02274659147091663, 11560000000, 
-0.09109646497126112, 0.09820270546494748, -0.02059240349845439, 11662000000, 
-0.08283584488828066, 0.08709478660251188, -0.018668413402601967, 11764000000, 
-0.07511493277534154, 0.078340844097645, -0.016935212499172063, 11866000000, 
-0.06806552309711078, 0.07240353819200923, -0.01536910845172984, 11968000000, 
-0.06169447768651215, 0.06578654455308523, -0.013931495482009582, 12070000000, 
-0.05589100771527189, 0.05967899696979849, -0.012624268577924846, 12172000000, 
-0.05064938913211248, 0.05414259095293958, -0.011439971468304961, 12274000000, 
-0.04589583496446281, 0.048995944856907246, -0.010365663763205607, 12376000000, 
-0.0415854229144248, 0.04443120694944941, -0.009392883996748005, 12478000000, 
-0.03768265415558625, 0.040260690239591, -0.008511146018344221, 12580000000, 
-0.03414657415957256, 0.03646494487672664, -0.007712196283611685, 12682000000, 
-0.030937749193609143, 0.03306325961753483, -0.00698815447059622, 12784000000, 
-0.02891518245355018, 0.030601348412018933, -0.005326638662381473, 12852000000, 
-0.02619429228967174, 0.028209511146896495, -0.004876009356420427, 12954000000, 
-0.02373267055174466, 0.025404470106889804, -0.005361265880057727, 13056000000, 
-0.021502730692456007, 0.022997850966743786, -0.004857219160303323, 13158000000, 
-0.019559178340354477, 0.02045829515387345, -0.004406031411749749, 13260000000, 
-0.017738044777692807, 0.018454342719427447, -0.003998396859114223, 13362000000, 
-0.016070679824591094, 0.017100482920408742, -0.0036290174000994093, 13464000000, 
-0.014564082470694628, 0.015558638759794997, -0.0032893508809625394, 13566000000, 
-0.013198979811664735, 0.014076960847678233, -0.0029806944632726306, 13668000000, 
-0.011960082664474792, 0.01276470493245018, -0.002701173856384722, 13770000000, 
-0.010836293462429314, 0.011581795829585398, -0.002447684203822681, 13872000000, 
-0.009816756821828476, 0.010506499228658409, -0.002217693040513815, 13974000000, 
-0.008892576023705856, 0.009528026660409108, -0.0020091025889415275, 14076000000, 
-0.008055850784435603, 0.008631892340161143, -0.0018200324868379554, 14178000000, 
-0.007297957255839815, 0.007816758666010004, -0.0016487541163507265, 14280000000, 
-0.006821258057886359, 0.007220305517284177, -0.001256587078895834, 14348000000, 
-0.006179241467599628, 0.006652281309886842, -0.0011502458842751286, 14450000000, 
-0.0055974796013094075, 0.005998914002828194, -0.0012646625806220866, 14552000000, 
-0.005070505210468923, 0.005434981652601494, -0.001145611386997701, 14654000000, 
-0.004590137069941047, 0.0049379535851390224, -0.0010375522879569176, 14756000000, 
-0.004168173851106238, 0.0044231929380523765, -0.000940359496943102, 14858000000, 
-0.003776693418791943, 0.003987468878181882, -0.0008523802951090674, 14960000000, 
-0.003420602977409759, 0.003664563106355291, -0.0007728519768169399, 15062000000, 
-0.003098919541323353, 0.003322420967983287, -0.0007001426837517036, 15164000000, 
-0.002807771374299328, 0.0030040764858354453, -0.0006342559847262059, 15266000000, 
-0.0025440598751174104, 0.002719900324538934, -0.0005746510537703261, 15368000000, 
-0.0023051215303606654, 0.0024639698232287394, -0.0005206727890248634, 15470000000, 
-0.002088615654557313, 0.002232569708627928, -0.00047177020008240636, 15572000000, 
-0.0018924519775066484, 0.0020228899649706714, -0.00042746086304487456, 15674000000, 
-0.001769116543075766, 0.0018684648465538641, -0.00032584376992458457, 15742000000, 
-0.0016030242659524907, 0.0017210560233803865, -0.0002983269245703113, 15844000000, 
-0.001452607820870755, 0.0015515133441422115, -0.0003280829068331327, 15946000000, 
-0.0013162997200464321, 0.0014055124799316598, -0.00029729136286713807, 16048000000, 
-0.0011975223756414133, 0.0012504188491634393, -0.00026971723432598477, 16150000000, 
-0.0010862517306527986, 0.0011276862225178116, -0.00024480502019116375, 16252000000, 
-0.0009846133372332089, 0.001043671756902963, -0.0002222503461598646, 16354000000, 
-0.0008926149962700247, 0.0009491996783469307, -0.00020151664436261017, 16456000000, 
-0.0008091364744350349, 0.000860180699991049, -0.00018267280693980224, 16558000000, 
-0.0007333556411465159, 0.0007806831133505337, -0.00016558728360590712, 16660000000, 
-0.0006646232682053776, 0.0007083980697532218, -0.0001500838460975111, 16762000000, 
-0.0006022515200475587, 0.0006426672602890058, -0.00013601566919916274, 16864000000, 
-0.0005456414695230727, 0.0005832441111877694, -0.0001232511055287686, 16966000000, 
-0.0004943906393083397, 0.000528729807545191, -0.00011167528676377001, 17068000000, 
-0.0004478836505363848, 0.0004792049950327838, -0.0001011782716370102, 17170000000, 
-0.00041862168918482823, 0.00044313691568279294, -7.711743881167465e-05, 17238000000, 
-0.00037913225535057826, 0.00040873713657639613, -7.05861303874015e-05, 17340000000, 
-0.0003433831956380917, 0.00036881614483694365, -7.759732553179787e-05, 17442000000, 
-0.0003109076030821667, 0.000334434569943194, -7.027276767681688e-05, 17544000000, 
-0.0002826269821792904, 0.000297824575778438, -6.371040910116931e-05, 17646000000, 
-0.00025446182957789, 0.0002766949681582192, -5.766375620907559e-05, 17748000000, 
-0.00023074362267427873, 0.00025433019365201796, -5.221260554133921e-05, 17850000000, 
-0.00020887016891801835, 0.0002234885326464296, -4.7197142239572716e-05, 17952000000, 
-0.0001888816396463655, 0.00020520579915643734, -4.273768932422905e-05, 18054000000, 
-0.0001708461199989575, 0.00018639239666206305, -3.8664659142307204e-05, 18156000000, 
-0.00015449361233565995, 0.00016856876132698807, -3.4967053294706836e-05, 18258000000, 
-0.00013960219116293526, 0.00015315651390206977, -3.161605079783358e-05, 18360000000, 
-0.00012623637515052355, 0.0001385158685545902, -2.8582588148140073e-05, 18462000000, 
-0.00011402111435554474, 0.0001253974353303457, -2.583045828549224e-05, 18564000000, 
-0.00010304336870459174, 0.00011369120806829319, -2.334445835832488e-05, 18666000000, 
-9.624980760591928e-05, 0.00010376513381843967, -1.775447647107649e-05, 18734000000, 
-8.684385268431516e-05, 9.60602773020236e-05, -1.621443164304015e-05, 18836000000, 
-7.843011760377827e-05, 8.73514215791226e-05, -1.778361689679286e-05, 18938000000, 
-7.087107122638603e-05, 7.829794832318201e-05, -1.60578628229846e-05, 19040000000, 
