x, y, theta, stamp, 
-4.1244575754717516e-08, 4.823181853907954e-08, 3.4110069826140364e-06, 1729864142487758657, 
-4.1244575754717516e-08, 4.823181853907954e-08, 3.4110069826140364e-06, 1729864142557569499, 
-4.1244575754717516e-08, 4.823181853907954e-08, 3.4110069826140364e-06, 1729864142587563926, 
1.4210854715202004e-14, 7.105427357601002e-15, 3.461071377293177e-06, 1729864142650401955, 
1.4210854715202004e-14, 7.105427357601002e-15, 3.461072741544093e-06, 1729864142693584133, 
1.4210854715202004e-14, 7.105427357601002e-15, 3.417425807236098e-06, 1729864142742379000, 
1.4210854715202004e-14, 7.105427357601002e-15, 3.417427171487014e-06, 1729864142792852198, 
0.0003354749933350831, 8.475490176351741e-05, -0.00013170040479813547, 1729864142843769156, 
0.005232719238847494, 0.0005862986436113715, 0.005711229904186386, 1729864142907918122, 
0.010858530178666115, 0.001400198321789503, 0.016656031279086964, 1729864142957879455, 
0.025626959279179573, 0.003175807883962989, 0.04339156772421712, 1729864143047511508, 
0.04927307367324829, 0.005387377459555864, 0.08432989101733435, 1729864143147469959, 
0.07707555592060089, 0.00852460227906704, 0.12958160024965423, 1729864143238563827, 
0.1075589656829834, 0.013509111478924751, 0.18101362086761935, 1729864143337613495, 
0.13987307250499725, 0.02062418684363365, 0.2408528036597116, 1729864143447406556, 
0.16852985322475433, 0.028816094622015953, 0.2908444953170698, 1729864143547384192, 
0.19440579414367676, 0.037427522242069244, 0.3364059393439252, 1729864143638930608, 
0.2223636507987976, 0.048385221511125565, 0.38258903724332294, 1729864143737998026, 
0.2521722614765167, 0.06179634854197502, 0.43040499239978314, 1729864143847623179, 
0.2793470025062561, 0.07523547857999802, 0.47353124128511154, 1729864143947414705, 
0.3033188283443451, 0.08856292814016342, 0.5148672270947835, 1729864144037390891, 
0.3340015113353729, 0.10771402716636658, 0.5634768434375599, 1729864144158476129, 
0.356849730014801, 0.12296875566244125, 0.5887348497033674, 1729864144247503832, 
0.3820130228996277, 0.1407126635313034, 0.6169789794809757, 1729864144347416265, 
0.4041140675544739, 0.15735705196857452, 0.6413433510078569, 1729864144437445954, 
0.427252858877182, 0.17563827335834503, 0.662681732359346, 1729864144533842458, 
0.45532435178756714, 0.1986541599035263, 0.6858963958737319, 1729864144651534008, 
0.47699642181396484, 0.21697011590003967, 0.7019189366268804, 1729864144743422092, 
0.49955520033836365, 0.23687705397605896, 0.7208438328795718, 1729864144841446714, 
0.5201125741004944, 0.2556000053882599, 0.7338142180035111, 1729864144933791433, 
0.5466463565826416, 0.28049853444099426, 0.7509564073370488, 1729864145051548225, 
0.5673344731330872, 0.30049651861190796, 0.7672046938838063, 1729864145143411450, 
0.5885819792747498, 0.321702778339386, 0.7815337488574206, 1729864145241548233, 
0.6082581281661987, 0.3419945240020752, 0.7937134602015503, 1729864145333964136, 
0.6335830092430115, 0.3688342869281769, 0.8158416734301426, 1729864145452425436, 
0.6530654430389404, 0.39049845933914185, 0.8387827582613354, 1729864145547431765, 
0.6712908744812012, 0.41124191880226135, 0.8581783347430209, 1729864145637422928, 
0.6946019530296326, 0.43983137607574463, 0.8891114347635404, 1729864145757942308, 
0.7115030288696289, 0.46190136671066284, 0.9161979183596042, 1729864145847657287, 
0.7283295392990112, 0.4850740432739258, 0.9483173872573158, 1729864145942477534, 
0.7454719543457031, 0.5105189681053162, 0.9794449183152338, 1729864146042431817, 
0.760132908821106, 0.5339097380638123, 1.0076928004490506, 1729864146133660845, 
0.7785339951515198, 0.5657166242599487, 1.0497858068074122, 1729864146252504622, 
0.7917633652687073, 0.590279221534729, 1.0798823319163275, 1729864146342482133, 
0.8052797913551331, 0.6176429986953735, 1.1147934723340527, 1729864146442514292, 
0.8163919448852539, 0.6429221630096436, 1.1467106130653903, 1729864146533023209, 
0.8302602767944336, 0.677146315574646, 1.190404774023727, 1729864146652619498, 
0.839715838432312, 0.7030218839645386, 1.219439974381691, 1729864146742416729, 
0.8494888544082642, 0.7326684594154358, 1.2471187019967158, 1729864146842540962, 
0.8578957915306091, 0.7593056559562683, 1.2600695890089233, 1729864146933988552, 
0.8685030341148376, 0.7939329743385315, 1.2701540222508312, 1729864147052638873, 
0.8765139579772949, 0.8203920125961304, 1.2798704336972073, 1729864147142612158, 
0.8850780129432678, 0.8499051928520203, 1.2910514041289498, 1729864147242699295, 
0.8920931816101074, 0.8764103055000305, 1.3022563708930237, 1729864147332863501, 
0.9011818170547485, 0.9106992483139038, 1.3144507960911416, 1729864147452568293, 
0.9079472422599792, 0.9343093037605286, 1.3039157894107192, 1729864147542683834, 
0.9176340103149414, 0.9640063643455505, 1.2585350045804373, 1729864147642550398, 
0.9294948577880859, 0.9966269135475159, 1.2037652546239275, 1729864147759468345, 
0.9400378465652466, 1.0213183164596558, 1.159673731323431, 1729864147847495180, 
0.9531927108764648, 1.0486390590667725, 1.1068287041050773, 1729864147947459046, 
0.9661890864372253, 1.0725250244140625, 1.0510239721777932, 1729864148037556030, 
0.9818439483642578, 1.0975391864776611, 0.9848188049757264, 1729864148137335977, 
1.001295566558838, 1.1241588592529297, 0.9111545940830292, 1729864148247436865, 
1.0210609436035156, 1.1477988958358765, 0.838678049146323, 1729864148347469671, 
1.0437812805175781, 1.1710716485977173, 0.7627997893551, 1729864148458083607, 
1.0615988969802856, 1.1870112419128418, 0.7159311348670367, 1729864148538054353, 
1.087676763534546, 1.2083375453948975, 0.6703485438041793, 1729864148647456348, 
1.1118658781051636, 1.226179599761963, 0.6364856407505836, 1729864148747467383, 
1.1342694759368896, 1.2416565418243408, 0.6151943486617522, 1729864148838578100, 
1.1596202850341797, 1.258483648300171, 0.5887690510466436, 1729864148938084595, 
1.1879485845565796, 1.2764331102371216, 0.558500673343222, 1729864149047512823, 
1.2139408588409424, 1.2929635047912598, 0.5672978954971489, 1729864149147475040, 
1.2361193895339966, 1.3082910776138306, 0.5931359855653786, 1729864149237686610, 
1.2611092329025269, 1.32591712474823, 0.6195650443366657, 1729864149338027562, 
1.2880876064300537, 1.3463590145111084, 0.6947779612276942, 1729864149447575124, 
1.310576319694519, 1.3666588068008423, 0.7834500853533818, 1729864149547474322, 
1.328635573387146, 1.3867228031158447, 0.8760592248824356, 1729864149637572690, 
1.3467153310775757, 1.4111778736114502, 0.9778473034803608, 1729864149737721264, 
1.363977313041687, 1.4400064945220947, 1.0929180591901426, 1729864149848612437, 
1.3762317895889282, 1.4669291973114014, 1.2063032405693548, 1729864149947647348, 
1.3845134973526, 1.491031527519226, 1.3290472209774833, 1729864150038491519, 
1.389757513999939, 1.5194485187530518, 1.4597265517578006, 1729864150137543912, 
1.3914498090744019, 1.5528590679168701, 1.5878158915041933, 1729864150248630815, 
1.3891664743423462, 1.5829325914382935, 1.7056670202975637, 1729864150348480300, 
1.3841605186462402, 1.6091207265853882, 1.8099566064397141, 1729864150437693724, 
1.3756622076034546, 1.6372817754745483, 1.9282393664522641, 1729864150537894747, 
1.362333059310913, 1.6671836376190186, 2.052995694189093, 1729864150647529027, 
1.3478994369506836, 1.6923741102218628, 2.138077808568222, 1729864150748613615, 
1.3320928812026978, 1.7158808708190918, 2.1784398935959177, 1729864150837508214, 
1.3135631084442139, 1.7408419847488403, 2.2233070458569384, 1729864150937965852, 
1.2924220561981201, 1.7667239904403687, 2.2769648693058384, 1729864151047485877, 
1.2721614837646484, 1.7891666889190674, 2.3283232286466093, 1729864151148607783, 
1.2522978782653809, 1.8089711666107178, 2.372625784147948, 1729864151238723779, 
1.231436014175415, 1.8278586864471436, 2.414184931122238, 1729864151337780419, 
1.2084856033325195, 1.8491029739379883, 2.3927883928574216, 1729864151447738170, 
1.187090277671814, 1.8703545331954956, 2.297830758278614, 1729864151548471769, 
1.171342372894287, 1.8903557062149048, 2.1797715922520298, 1729864151638736191, 
1.1559576988220215, 1.915420651435852, 2.0537316398551004, 1729864151738142309, 
1.142016887664795, 1.9450255632400513, 1.9154429195886182, 1729864151848623857, 
1.1341392993927002, 1.9715758562088013, 1.7700439354337925, 1729864151948499802, 
1.1322650909423828, 1.9921467304229736, 1.607598527151404, 1729864152038481724, 
1.1338610649108887, 2.0160560607910156, 1.4253522141021744, 1729864152138206736, 
1.1401057243347168, 2.0411276817321777, 1.2227371485549525, 1729864152250201646, 
1.1505271196365356, 2.063817262649536, 1.0507398160405015, 1729864152349478589, 
1.1637699604034424, 2.082787275314331, 0.9003801880530709, 1729864152438789666, 
1.1812325716018677, 2.100881338119507, 0.7315309643091796, 1729864152537863433, 
1.20390784740448, 2.1171185970306396, 0.5448577507539026, 1729864152647551862, 
1.2273396253585815, 2.129877805709839, 0.3899483623577555, 1729864152749665862, 
1.2517741918563843, 2.1386096477508545, 0.26777596326913883, 1729864152838882924, 
1.284229040145874, 2.145373582839966, 0.1028489637604436, 1729864152955368268, 
1.3102691173553467, 2.146868944168091, -0.01993402528993788, 1729864153048631966, 
1.3396682739257812, 2.1453616619110107, -0.08986613979765598, 1729864153145630587, 
1.3673691749572754, 2.141766309738159, -0.13167097200468741, 1729864153238552049, 
1.3968664407730103, 2.1365654468536377, -0.1652639734295072, 1729864153337907721, 
1.4294774532318115, 2.130044937133789, -0.20041664538426354, 1729864153447657967, 
1.4588243961334229, 2.124249219894409, -0.19745668244739387, 1729864153545533746, 
1.4864428043365479, 2.119687795639038, -0.17092778123418076, 1729864153638624173, 
1.5164188146591187, 2.115225076675415, -0.15160896967077572, 1729864153738518905, 
1.549575686454773, 2.111084222793579, -0.1306944121951366, 1729864153847509619, 
1.5795648097991943, 2.107814073562622, -0.10389676051398562, 1729864153945505361, 
