ranges, angle_increment, stamp, 
inf,-3.1241393089294434,1728046709637053743,
inf,-3.115424799732864,1728046709637053743,
inf,-3.1067102905362844,1728046709637053743,
inf,-3.097995781339705,1728046709637053743,
7.447999954223633,-3.0892812721431255,1728046709637053743,
7.447999954223633,-3.080566762946546,1728046709637053743,
7.480000019073486,-3.0718522537499666,1728046709637053743,
7.4720001220703125,-3.063137744553387,1728046709637053743,
7.495999813079834,-3.0544232353568077,1728046709637053743,
7.480000019073486,-3.0457087261602283,1728046709637053743,
6.888000011444092,-3.036994216963649,1728046709637053743,
6.888000011444092,-3.0282797077670693,1728046709637053743,
6.711999893188477,-3.01956519857049,1728046709637053743,
6.711999893188477,-3.0108506893739104,1728046709637053743,
6.776000022888184,-3.002136180177331,1728046709637053743,
6.504000186920166,-2.9934216709807515,1728046709637053743,
inf,-2.984707161784172,1728046709637053743,
inf,-2.9759926525875926,1728046709637053743,
inf,-2.967278143391013,1728046709637053743,
inf,-2.9585636341944337,1728046709637053743,
6.0,-2.9498491249978542,1728046709637053743,
6.0,-2.9411346158012748,1728046709637053743,
6.007999897003174,-2.9324201066046953,1728046709637053743,
6.007999897003174,-2.923705597408116,1728046709637053743,
inf,-2.9149910882115364,1728046709637053743,
6.607999801635742,-2.906276579014957,1728046709637053743,
6.607999801635742,-2.8975620698183775,1728046709637053743,
inf,-2.888847560621798,1728046709637053743,
inf,-2.8801330514252186,1728046709637053743,
6.519999980926514,-2.871418542228639,1728046709637053743,
6.519999980926514,-2.8627040330320597,1728046709637053743,
6.48799991607666,-2.85398952383548,1728046709637053743,
6.4720001220703125,-2.8452750146389008,1728046709637053743,
6.455999851226807,-2.8365605054423213,1728046709637053743,
8.215999603271484,-2.827845996245742,1728046709637053743,
8.279999732971191,-2.8191314870491624,1728046709637053743,
8.312000274658203,-2.810416977852583,1728046709637053743,
4.375999927520752,-2.8017024686560035,1728046709637053743,
4.375999927520752,-2.792987959459424,1728046709637053743,
7.880000114440918,-2.7842734502628446,1728046709637053743,
7.880000114440918,-2.775558941066265,1728046709637053743,
7.815999984741211,-2.7668444318696856,1728046709637053743,
7.791999816894531,-2.758129922673106,1728046709637053743,
7.664000034332275,-2.7494154134765267,1728046709637053743,
7.664000034332275,-2.7407009042799473,1728046709637053743,
7.616000175476074,-2.731986395083368,1728046709637053743,
3.7760000228881836,-2.7232718858867884,1728046709637053743,
inf,-2.714557376690209,1728046709637053743,
inf,-2.7058428674936295,1728046709637053743,
inf,-2.69712835829705,1728046709637053743,
inf,-2.6884138491004705,1728046709637053743,
inf,-2.679699339903891,1728046709637053743,
inf,-2.6709848307073116,1728046709637053743,
inf,-2.662270321510732,1728046709637053743,
inf,-2.6535558123141527,1728046709637053743,
2.0999999046325684,-2.6448413031175733,1728046709637053743,
2.0999999046325684,-2.636126793920994,1728046709637053743,
2.1080000400543213,-2.6274122847244143,1728046709637053743,
2.119999885559082,-2.618697775527835,1728046709637053743,
2.131999969482422,-2.6099832663312554,1728046709637053743,
2.128000020980835,-2.601268757134676,1728046709637053743,
2.135999917984009,-2.5925542479380965,1728046709637053743,
2.140000104904175,-2.583839738741517,1728046709637053743,
0.13500000536441803,-2.5751252295449376,1728046709637053743,
0.13500000536441803,-2.566410720348358,1728046709637053743,
2.063999891281128,-2.5576962111517787,1728046709637053743,
2.059999942779541,-2.5489817019551992,1728046709637053743,
0.13199999928474426,-2.54026719275862,1728046709637053743,
0.13199999928474426,-2.5315526835620403,1728046709637053743,
2.068000078201294,-2.522838174365461,1728046709637053743,
2.0999999046325684,-2.5141236651688814,1728046709637053743,
2.115999937057495,-2.505409155972302,1728046709637053743,
8.175999641418457,-2.4966946467757225,1728046709637053743,
8.175999641418457,-2.487980137579143,1728046709637053743,
8.128000259399414,-2.4792656283825636,1728046709637053743,
8.031999588012695,-2.470551119185984,1728046709637053743,
7.9679999351501465,-2.4618366099894047,1728046709637053743,
7.863999843597412,-2.453122100792825,1728046709637053743,
7.808000087738037,-2.4444075915962458,1728046709637053743,
5.303999900817871,-2.4356930823996663,1728046709637053743,
4.920000076293945,-2.426978573203087,1728046709637053743,
inf,-2.4182640640065074,1728046709637053743,
inf,-2.409549554809928,1728046709637053743,
inf,-2.4008350456133485,1728046709637053743,
inf,-2.392120536416769,1728046709637053743,
inf,-2.3834060272201896,1728046709637053743,
inf,-2.37469151802361,1728046709637053743,
inf,-2.3659770088270307,1728046709637053743,
inf,-2.357262499630451,1728046709637053743,
4.51200008392334,-2.3485479904338717,1728046709637053743,
4.51200008392334,-2.3398334812372923,1728046709637053743,
inf,-2.331118972040713,1728046709637053743,
inf,-2.3224044628441334,1728046709637053743,
6.423999786376953,-2.313689953647554,1728046709637053743,
6.423999786376953,-2.3049754444509745,1728046709637053743,
inf,-2.296260935254395,1728046709637053743,
6.343999862670898,-2.2875464260578156,1728046709637053743,
6.343999862670898,-2.278831916861236,1728046709637053743,
6.159999847412109,-2.2701174076646566,1728046709637053743,
6.144000053405762,-2.261402898468077,1728046709637053743,
6.191999912261963,-2.2526883892714977,1728046709637053743,
6.303999900817871,-2.2439738800749183,1728046709637053743,
inf,-2.235259370878339,1728046709637053743,
inf,-2.2265448616817594,1728046709637053743,
inf,-2.21783035248518,1728046709637053743,
inf,-2.2091158432886004,1728046709637053743,
5.960000038146973,-2.200401334092021,1728046709637053743,
5.960000038146973,-2.1916868248954415,1728046709637053743,
5.960000038146973,-2.182972315698862,1728046709637053743,
5.952000141143799,-2.1742578065022826,1728046709637053743,
5.927999973297119,-2.165543297305703,1728046709637053743,
5.9679999351501465,-2.1568287881091237,1728046709637053743,
5.519999980926514,-2.1481142789125443,1728046709637053743,
5.519999980926514,-2.139399769715965,1728046709637053743,
5.455999851226807,-2.1306852605193853,1728046709637053743,
6.5920000076293945,-2.121970751322806,1728046709637053743,
inf,-2.1132562421262264,1728046709637053743,
inf,-2.104541732929647,1728046709637053743,
5.263999938964844,-2.0958272237330675,1728046709637053743,
5.263999938964844,-2.087112714536488,1728046709637053743,
inf,-2.0783982053399086,1728046709637053743,
5.239999771118164,-2.069683696143329,1728046709637053743,
5.239999771118164,-2.0609691869467497,1728046709637053743,
5.567999839782715,-2.0522546777501702,1728046709637053743,
5.567999839782715,-2.0435401685535908,1728046709637053743,
5.823999881744385,-2.0348256593570113,1728046709637053743,
6.104000091552734,-2.026111150160432,1728046709637053743,
6.056000232696533,-2.0173966409638524,1728046709637053743,
6.056000232696533,-2.008682131767273,1728046709637053743,
6.23199987411499,-1.9999676225706935,1728046709637053743,
6.23199987411499,-1.991253113374114,1728046709637053743,
6.392000198364258,-1.9825386041775346,1728046709637053743,
6.447999954223633,-1.9738240949809551,1728046709637053743,
6.423999786376953,-1.9651095857843757,1728046709637053743,
6.415999889373779,-1.9563950765877962,1728046709637053743,
6.400000095367432,-1.9476805673912168,1728046709637053743,
6.400000095367432,-1.9389660581946373,1728046709637053743,
6.328000068664551,-1.9302515489980578,1728046709637053743,
6.343999862670898,-1.9215370398014784,1728046709637053743,
6.296000003814697,-1.912822530604899,1728046709637053743,
6.288000106811523,-1.9041080214083195,1728046709637053743,
6.288000106811523,-1.89539351221174,1728046709637053743,
6.271999835968018,-1.8866790030151606,1728046709637053743,
6.25600004196167,-1.877964493818581,1728046709637053743,
