x, y, theta, stamp, 
-1.9999420556662415, -0.5000009938649698, 5.367439159501297e-07, 9724000000, 
-1.9999420488740576, -0.5000009938495745, 5.3766846957587e-07, 9758000000, 
-1.999942031850156, -0.5000009938106698, 5.386007267146967e-07, 9792000000, 
-1.9999420072477232, -0.5000009937854568, 5.396122628627509e-07, 9826000000, 
-1.9946010177633682, -0.5000041557364616, -0.0018499281037365374, 9860000000, 
-1.9733888452211612, -0.5002521565017526, -0.026808055480819482, 9962000000, 
-1.9509140460370422, -0.5013172165774964, -0.06540232307701177, 10064000000, 
-1.9284915640816767, -0.5032373818697546, -0.1046817984329994, 10166000000, 
-1.9061570361290492, -0.5060176935285348, -0.14337227191656288, 10268000000, 
-1.8839436035478898, -0.509653672739967, -0.18134167046887434, 10370000000, 
-1.861881347679896, -0.514119287072251, -0.21784568106543192, 10472000000, 
-1.8399921815110887, -0.5193634904488607, -0.25205105837231395, 10574000000, 
-1.8182885453367348, -0.5253223204285974, -0.2836456737877037, 10676000000, 
-1.796776434907585, -0.5319329723862553, -0.31257807730536563, 10778000000, 
-1.7754565320391924, -0.5391340869102061, -0.3389203161417812, 10880000000, 
-1.754329880917942, -0.5468652949668754, -0.3627995188931281, 10982000000, 
-1.7333982395113123, -0.5550697243024298, -0.384423261128724, 11084000000, 
-1.7126532108245403, -0.5636984745804399, -0.40397896326462657, 11186000000, 
-1.6921954551593417, -0.5726580574231557, -0.42163498510646746, 11288000000, 
-1.6788456552439657, -0.5787309277804614, -0.4326293388104646, 11356000000, 
-1.6593499877765105, -0.5879061824894344, -0.44746958041790547, 11458000000, 
-1.6404741956242848, -0.597118589015587, -0.46089325792703806, 11560000000, 
-1.6222025015579016, -0.6063280067507614, -0.4730259080602923, 11662000000, 
-1.60491560548915, -0.6152904582320123, -0.48361475188043157, 11764000000, 
-1.5882946064976653, -0.6241272698862551, -0.4934311526961114, 11866000000, 
-1.5718822355306765, -0.6330515725271908, -0.5024175726859801, 11968000000, 
-1.5558360852045887, -0.6419550790219197, -0.5105612158407359, 12070000000, 
-1.54029176931884, -0.6507388205104863, -0.5179709357819926, 12172000000, 
-1.5252165155293615, -0.6593991286577504, -0.524667894190189, 12274000000, 
-1.510591008672713, -0.66792578608215, -0.530741015593503, 12376000000, 
-1.4964017941943741, -0.6763084440944778, -0.5362476174928396, 12478000000, 
-1.4826341120304494, -0.6845398355170377, -0.541234416884207, 12580000000, 
-1.4692777843591496, -0.6926115992802319, -0.5457526349879371, 12682000000, 
-1.4563232436152154, -0.7005169990564521, -0.5498505750173993, 12784000000, 
-1.4479016026003173, -0.7056943603396161, -0.552418690611134, 12852000000, 
-1.43557701865059, -0.713322618649487, -0.5558927496349615, 12954000000, 
-1.4236065964992726, -0.7207866034946079, -0.5590366767569481, 13056000000, 
-1.4119781880425923, -0.728085798896696, -0.5618848119643676, 13158000000, 
-1.4009403885233291, -0.7350555574559463, -0.564376148890318, 13260000000, 
-1.3902958377658545, -0.7418133699394868, -0.5666896758885832, 13362000000, 
-1.3797489039686024, -0.7485419446721336, -0.5688118766378113, 13464000000, 
-1.3693964237984786, -0.7551757337995944, -0.5707348433574357, 13566000000, 
-1.3593286607737518, -0.7616530271315651, -0.5724774880765583, 13668000000, 
-1.349535419999653, -0.7679766448240746, -0.5740587409983819, 13770000000, 
-1.3400131855316442, -0.7741455196818477, -0.5754928395289618, 13872000000, 
-1.3307576338631382, -0.7801595375587284, -0.5767934281456123, 13974000000, 
-1.3217598034132028, -0.7860219034533982, -0.577972160749128, 14076000000, 
-1.3130097582555553, -0.7917367254372512, -0.5790396027484466, 14178000000, 
-1.3045003115866385, -0.7973067057939451, -0.580006527316944, 14280000000, 
-1.2989580456725711, -0.8009405466234909, -0.5806116658768392, 14348000000, 
-1.2908375458708363, -0.8062730712031718, -0.5814310458336955, 14450000000, 
-1.282942164641695, -0.811466542634581, -0.5821734910978805, 14552000000, 
-1.2752640918498663, -0.8165248083780068, -0.5828460706992479, 14654000000, 
-1.2678469221402424, -0.8214179654306925, -0.5834574903508813, 14756000000, 
-1.2607966885833248, -0.8260749103333338, -0.5839953617041207, 14858000000, 
-1.2538018910472382, -0.830700442553663, -0.5844939909959481, 14960000000, 
