ranges, angle_increment, stamp, 
1.9233609437942505,0.0,1791677000000,
1.9369876384735107,0.01749303564429283,1791677000000,
1.919875979423523,0.03498607128858566,1791677000000,
1.941529393196106,0.052479106932878494,1791677000000,
1.951636552810669,0.06997214257717133,1791677000000,
1.958855390548706,0.08746517822146416,1791677000000,
1.9705437421798706,0.10495821386575699,1791677000000,
2.0062384605407715,0.12245124951004982,1791677000000,
2.0138068199157715,0.13994428515434265,1791677000000,
2.0284807682037354,0.15743732079863548,1791677000000,
2.0528054237365723,0.17493035644292831,1791677000000,
2.0609376430511475,0.19242339208722115,1791677000000,
2.094529867172241,0.20991642773151398,1791677000000,
2.100217580795288,0.2274094633758068,1791677000000,
2.1290781497955322,0.24490249902009964,1791677000000,
2.1458778381347656,0.26239553466439247,1791677000000,
2.1574501991271973,0.2798885703086853,1791677000000,
2.2106029987335205,0.29738160595297813,1791677000000,
2.225123405456543,0.31487464159727097,1791677000000,
2.255702018737793,0.3323676772415638,1791677000000,
2.275217294692993,0.34986071288585663,1791677000000,
2.3051724433898926,0.36735374853014946,1791677000000,
2.333817958831787,0.3848467841744423,1791677000000,
2.376946210861206,0.4023398198187351,1791677000000,
2.419541358947754,0.41983285546302795,1791677000000,
2.4548838138580322,0.4373258911073208,1791677000000,
2.4915661811828613,0.4548189267516136,1791677000000,
2.5369386672973633,0.47231196239590645,1791677000000,
2.5691802501678467,0.4898049980401993,1791677000000,
2.6153008937835693,0.5072980336844921,1791677000000,
2.6661534309387207,0.5247910693287849,1791677000000,
2.7166080474853516,0.5422841049730778,1791677000000,
2.782564163208008,0.5597771406173706,1791677000000,
2.821319580078125,0.5772701762616634,1791677000000,
2.8792953491210938,0.5947632119059563,1791677000000,
2.957742691040039,0.6122562475502491,1791677000000,
3.010805130004883,0.6297492831945419,1791677000000,
3.084096670150757,0.6472423188388348,1791677000000,
3.1745424270629883,0.6647353544831276,1791677000000,
3.223031520843506,0.6822283901274204,1791677000000,
3.323516845703125,0.6997214257717133,1791677000000,
3.4060254096984863,0.7172144614160061,1791677000000,
3.355159044265747,0.7347074970602989,1791677000000,
3.3224830627441406,0.7522005327045918,1791677000000,
3.2819621562957764,0.7696935683488846,1791677000000,
3.2758259773254395,0.7871866039931774,1791677000000,
3.2530577182769775,0.8046796396374702,1791677000000,
3.206609010696411,0.8221726752817631,1791677000000,
3.1739578247070312,0.8396657109260559,1791677000000,
3.173598051071167,0.8571587465703487,1791677000000,
3.107308864593506,0.8746517822146416,1791677000000,
3.1136512756347656,0.8921448178589344,1791677000000,
3.0770864486694336,0.9096378535032272,1791677000000,
3.0641531944274902,0.9271308891475201,1791677000000,
3.0583229064941406,0.9446239247918129,1791677000000,
3.0213754177093506,0.9621169604361057,1791677000000,
2.990783929824829,0.9796099960803986,1791677000000,
2.9995524883270264,0.9971030317246914,1791677000000,
2.9838175773620605,1.0145960673689842,1791677000000,
2.9550209045410156,1.032089103013277,1791677000000,
2.9557526111602783,1.0495821386575699,1791677000000,
2.9568068981170654,1.0670751743018627,1791677000000,
2.9153194427490234,1.0845682099461555,1791677000000,
2.9285833835601807,1.1020612455904484,1791677000000,
2.908383846282959,1.1195542812347412,1791677000000,
2.899388074874878,1.137047316879034,1791677000000,
2.896895408630371,1.1545403525233269,1791677000000,
2.898869276046753,1.1720333881676197,1791677000000,
2.8778557777404785,1.1895264238119125,1791677000000,
2.8674750328063965,1.2070194594562054,1791677000000,
2.8639469146728516,1.2245124951004982,1791677000000,
2.8641715049743652,1.242005530744791,1791677000000,
2.8672473430633545,1.2594985663890839,1791677000000,
2.871187210083008,1.2769916020333767,1791677000000,
2.877926826477051,1.2944846376776695,1791677000000,
2.867121696472168,1.3119776733219624,1791677000000,
2.883917808532715,1.3294707089662552,1791677000000,
2.8754591941833496,1.346963744610548,1791677000000,
2.8824427127838135,1.3644567802548409,1791677000000,
2.882032632827759,1.3819498158991337,1791677000000,
2.8941400051116943,1.3994428515434265,1791677000000,
2.8943302631378174,1.4169358871877193,1791677000000,
2.913879632949829,1.4344289228320122,1791677000000,
2.8988494873046875,1.451921958476305,1791677000000,
2.926985502243042,1.4694149941205978,1791677000000,
2.92812180519104,1.4869080297648907,1791677000000,
2.9377858638763428,1.5044010654091835,1791677000000,
2.9551899433135986,1.5218941010534763,1791677000000,
2.964432954788208,1.5393871366977692,1791677000000,
2.9759278297424316,1.556880172342062,1791677000000,
2.9750988483428955,1.5743732079863548,1791677000000,
3.024491310119629,1.5918662436306477,1791677000000,
3.0413570404052734,1.6093592792749405,1791677000000,
3.04660701751709,1.6268523149192333,1791677000000,
3.064514398574829,1.6443453505635262,1791677000000,
3.1058075428009033,1.661838386207819,1791677000000,
3.1416172981262207,1.6793314218521118,1791677000000,
3.1398346424102783,1.6968244574964046,1791677000000,
3.1477136611938477,1.7143174931406975,1791677000000,
3.1802616119384766,1.7318105287849903,1791677000000,
3.2153477668762207,1.7493035644292831,1791677000000,
3.2528703212738037,1.766796600073576,1791677000000,
3.2565155029296875,1.7842896357178688,1791677000000,
3.293731451034546,1.8017826713621616,1791677000000,
3.3433096408843994,1.8192757070064545,1791677000000,
3.3782479763031006,1.8367687426507473,1791677000000,
3.418297290802002,1.8542617782950401,1791677000000,
inf,1.871754813939333,1791677000000,
inf,1.8892478495836258,1791677000000,
inf,1.9067408852279186,1791677000000,
inf,1.9242339208722115,1791677000000,
inf,1.9417269565165043,1791677000000,
inf,1.9592199921607971,1791677000000,
inf,1.97671302780509,1791677000000,
inf,1.9942060634493828,1791677000000,
