error, error_dot, error_int, stamp, 
-2.634214785478015, -3.247634840791386e-08, -0.17912660542229067, 44234000000, 
-2.634214780062946, 1.1845852403566555e-07, -0.17912660534960598, 44268000000, 
-2.6325354776641885, 0.012347891388940572, -0.2686328114689751, 44336000000, 
-2.5116624273002603, 0.6048627645199225, -0.440776718818219, 44438000000, 
-2.2661610575891347, 1.7959530395835972, -0.5039044094536436, 44540000000, 
-1.935543909785176, 2.8241103799759033, -0.4565089828378708, 44642000000, 
-1.6049730339371113, 3.2411177630001147, -0.39485410408917665, 44744000000, 
-1.2989873774685012, 3.120375158415073, -0.32908629384097354, 44846000000, 
-1.0369491036820038, 2.784431030662292, -0.26798184702595784, 44948000000, 
-0.8580658889836206, 2.161379845514121, -0.2171921611691205, 45050000000, 
-0.7585371628541817, 1.3647644158226573, -0.1804415465753468, 45152000000, 
-0.7193745627942696, 0.7758462069573875, -0.13237206482915073, 45220000000, 
-0.6760537838158853, 0.5003170542561395, -0.12205804553631242, 45322000000, 
-0.6536316790263546, 0.32226903807801494, -0.13933608174328263, 45424000000, 
-0.634090261412082, 0.20570354119511422, -0.13353674924929387, 45526000000, 
-0.5922191201359153, 0.3010419553452906, -0.1278359921190559, 45628000000, 
-0.5333101451292541, 0.49402017785699953, -0.11965412781405307, 45730000000, 
-0.4702265426312957, 0.5980028309049978, -0.10851139493695962, 45832000000, 
-0.40358015717491114, 0.6359313135016813, -0.09568394545561133, 45934000000, 
-0.3412650666239867, 0.6321640980750443, -0.08262488011725315, 46036000000, 
-0.29100380870206033, 0.5518448454551511, -0.07043773421006515, 46138000000, 
-0.2547389738549253, 0.4241475135738305, -0.06031653374430611, 46240000000, 
-0.22723030291109003, 0.3126152244655407, -0.05256216981182914, 46342000000, 
-0.21158426500661776, 0.2498908225516846, -0.03930136736711587, 46410000000, 
-0.1978089772749545, 0.18257031660966505, -0.036075334227584195, 46512000000, 
-0.1862792895784282, 0.1240439971970076, -0.04050573216648003, 46614000000, 
-0.17299201380934148, 0.12165178169418146, -0.03788145908506524, 46716000000, 
-0.15855615441953708, 0.1358977213671134, -0.035212267130896854, 46818000000, 
-0.14322959937706514, 0.14589418839351148, -0.03228488819720417, 46920000000, 
-0.1261922079748521, 0.15864679629747544, -0.029102501400458888, 47022000000, 
-0.10979574401262981, 0.16389144786487908, -0.025786793492789197, 47124000000, 
-0.09520315033103621, 0.15190714531282293, -0.02252099495765923, 47226000000, 
