x, y, theta, stamp, 
-0.008665686213514478, -0.002502397501878695, 0.2811192321739418, 44166000000, 
-0.008665664653912483, -0.0025023913770756147, 0.28111922921864596, 44200000000, 
-0.008665662555195202, -0.002502390768313953, 0.2811192258251631, 44234000000, 
-0.00866566815199353, -0.002502392564321906, 0.28111922233266085, 44268000000, 
0.009723149182357844, 0.0027818721012551413, 0.27289192797476475, 44336000000, 
0.03807082251148172, 0.009039150676639476, 0.1412871035730513, 44438000000, 
0.06727534993252864, 0.009722052922028762, -0.11773619872847149, 44540000000, 
0.09749861541730838, 0.0006656144614561296, -0.4667691528896691, 44642000000, 
0.1232189600122726, -0.01855375208526264, -0.8184810189436929, 44744000000, 
0.14085127248660476, -0.04536162288018175, -1.1458379708146649, 44846000000, 
0.1494995478660334, -0.0761960279475675, -1.4276763796211225, 44948000000, 
0.15073312490852947, -0.10809213498420987, -1.624168001878301, 45050000000, 
0.1472352506999926, -0.13932415065564765, -1.7394152591357046, 45152000000, 
0.1433042743651913, -0.1597186977667452, -1.7884131854022844, 45220000000, 
0.1357691152442054, -0.1894580044260133, -1.8457102425293026, 45322000000, 
0.12672753867565822, -0.2192636298001928, -1.8819999167321075, 45424000000, 
0.11654679238483935, -0.24927269123603293, -1.9155649567975905, 45526000000, 
0.10503690840713782, -0.27869319116098035, -1.9710713537457762, 45628000000, 
0.09160187995376434, -0.3074774361330737, -2.0429454329775893, 45730000000, 
0.0761217483086514, -0.3352276241394589, -2.117998507990426, 45832000000, 
0.058560898676043804, -0.36171898784711964, -2.195411654765687, 45934000000, 
0.03902728331462575, -0.38678174047042263, -2.2671562988911322, 46036000000, 
0.017966587086776186, -0.4104168413698212, -2.3256208660948, 46138000000, 
-0.003731371374832698, -0.43243103130962807, -2.3690156055530065, 46240000000, 
-0.025135016740057026, -0.45256921192200517, -2.4026984661508255, 46342000000, 
-0.03907466692606903, -0.465038658000573, -2.42202449244515, 46410000000, 
-0.05956098429266458, -0.48267736161530916, -2.4408741943928436, 46512000000, 
-0.07936218423065738, -0.49912914333907477, -2.457051564975648, 46614000000, 
-0.09871248494700635, -0.5146536847108605, -2.474626884454609, 46716000000, 
-0.11781793968303737, -0.5294095595758728, -2.4929968003572154, 46818000000, 
-0.13664881596317308, -0.5433993053991879, -2.5118869400630284, 46920000000, 
-0.15577823201456392, -0.5570384917859024, -2.532190187661052, 47022000000, 
-0.1751089070868909, -0.5702436079477488, -2.551502101398182, 47124000000, 
-0.1943240536578842, -0.5828605603745198, -2.5686422345732867, 47226000000, 
-0.20701590982692428, -0.5909543648059113, -2.5790830108791654, 47294000000, 
-0.22578523251121832, -0.6026208000282673, -2.591906007550683, 47396000000, 
-0.23811487590404173, -0.6101196911522, -2.598463233132634, 47464000000, 
-0.2440640298853933, -0.6136970097661683, -2.6019357532354133, 47498000000, 
-0.25002327408455755, -0.6172561720279328, -2.6044276070450563, 47532000000, 
-0.2559911753229624, -0.6208012825374984, -2.606935636737633, 47566000000, 
-0.26755830594560703, -0.6276109389589004, -2.6118426030941215, 47634000000, 
-0.2859879906443655, -0.6382496671188049, -2.62549880677586, 47736000000, 
