x, y, quat_z, quat_w, th, stamp, 
-4.865891933441162,1.769040822982788,-0.9999147653579712,0.012635834515094757,-3.1163201755639833,1728046707046052531,
-4.865891933441162,1.769040822982788,-0.9999147653579712,0.012635834515094757,-3.1163201755639833,1728046707097566727,
-4.865891933441162,1.769040822982788,-0.9999147653579712,0.012635834515094757,-3.1163201755639833,1728046707156222830,
-4.865891933441162,1.769040822982788,-0.9999147653579712,0.012635834515094757,-3.1163201755639833,1728046707205953666,
-4.865891933441162,1.769040822982788,-0.9999147653579712,0.012635834515094757,-3.1163201755639833,1728046707255962022,
-4.865891933441162,1.769040822982788,-0.9999147653579712,0.012635834515094757,-3.1163201755639833,1728046707296890436,
-4.865891933441162,1.769040822982788,-0.9999147653579712,0.012635834515094757,-3.1163201755639833,1728046707345920295,
-4.865891933441162,1.769040822982788,-0.9999147653579712,0.012635834515094757,-3.1163201755639833,1728046707396892122,
-4.865891933441162,1.769040822982788,-0.9999147653579712,0.012635834515094757,-3.1163201755639833,1728046707446934607,
-4.865891933441162,1.769040822982788,-0.9999147653579712,0.012635834515094757,-3.1163201755639833,1728046707496605976,
-4.865891933441162,1.769040822982788,-0.9999147653579712,0.012635834515094757,-3.1163201755639833,1728046707556505715,
-4.865891933441162,1.769040822982788,-0.9999147653579712,0.012635834515094757,-3.1163201755639833,1728046707605964329,
-4.865891933441162,1.769040822982788,-0.9999147653579712,0.012635834515094757,-3.1163201755639833,1728046707656967409,
-4.865891933441162,1.769040822982788,-0.9999147653579712,0.012635834515094757,-3.1163201755639833,1728046707696897009,
-4.865891933441162,1.769040822982788,-0.999914824962616,0.012635917402803898,-3.11632001130724,1728046707746931153,
-4.865891933441162,1.769040822982788,-0.999914824962616,0.012635917402803898,-3.11632001130724,1728046707796933328,
-4.865891933441162,1.769040822982788,-0.999914824962616,0.01263591181486845,-3.1163200224822782,1728046707846944463,
-4.865891933441162,1.769040822982788,-0.9999148845672607,0.01263591181486845,-3.1163200239886124,1728046707891727401,
-4.865891933441162,1.769040822982788,-0.9999148845672607,0.01263591181486845,-3.1163200239886124,1728046707956847165,
-4.865891933441162,1.769040822982788,-0.9999149441719055,0.012635915540158749,-3.1163200180449215,1728046708005974474,
-4.865891933441162,1.769040822982788,-0.9999149441719055,0.012635917402803898,-3.1163200143199092,1728046708051968711,
-4.865891933441162,1.769040822982788,-0.9999149441719055,0.012635917402803898,-3.1163200143199092,1728046708096488443,
-4.865891933441162,1.769040822982788,-0.9999150037765503,0.01263592392206192,-3.1163200027887012,1728046708146938136,
-4.865891933441162,1.769040822982788,-0.9999150037765503,0.01263592392206192,-3.1163200027887012,1728046708196899973,
-4.865891933441162,1.769040822982788,-0.9999150037765503,0.01263593602925539,-3.1163199785761226,1728046708247947251,
-4.865891933441162,1.769040822982788,-0.9999150037765503,0.012635941617190838,-3.1163199674010866,1728046708292696535,
-4.865891933441162,1.769040822982788,-0.9999150037765503,0.012635941617190838,-3.1163199674010866,1728046708356901439,
-4.865891933441162,1.769040822982788,-0.9999150633811951,0.012635943479835987,-3.1163199651824116,1728046708386118680,
-4.865891933441162,1.769040822982788,-0.9999150633811951,0.012635939754545689,-3.1163199726324353,1728046708452982888,
-4.865891933441162,1.769040822982788,-0.9999150633811951,0.012635936960577965,-3.1163199782199533,1728046708496908849,
-4.865891933441162,1.769040822982788,-0.9999150037765503,0.012635931372642517,-3.116319987888653,1728046708546942604,
-4.865891933441162,1.769040822982788,-0.9999150037765503,0.012635929509997368,-3.1163199916136652,1728046708595961478,
-4.865891933441162,1.769040822982788,-0.9999150633811951,0.012635920196771622,-3.11632001174506,1728046708642952732,
-4.865891933441162,1.769040822982788,-0.9999150633811951,0.012635915540158749,-3.11632002105759,1728046708693452955,
-4.865891933441162,1.769040822982788,-0.9999150633811951,0.0126359136775136,-3.1163200247826017,1728046708756774678,
-4.865891933441162,1.769040822982788,-0.9999150633811951,0.012635903432965279,-3.116320045270167,1728046708803974645,
-4.865891933441162,1.769040822982788,-0.9999150633811951,0.012635895982384682,-3.1163200601702146,1728046708853987168,
-4.865891933441162,1.769040822982788,-0.9999150633811951,0.01263588946312666,-3.1163200732077563,1728046708896917728,
-4.865891933441162,1.769040822982788,-0.9999150037765503,0.012635873630642891,-3.116320103364028,1728046708945980033,
-4.865891933441162,1.769040822982788,-0.9999150037765503,0.012635983526706696,-3.1163198835883144,1728046708996132739,
-4.865891933441162,1.769040822982788,-0.9999150037765503,0.012635958380997181,-3.1163199338759777,1728046709044259312,
-4.865891933441162,1.769040822982788,-0.9999150037765503,0.012635947205126286,-3.11631995622605,1728046709094557301,
-4.865891933441162,1.769040822982788,-0.9999149441719055,0.012635940685868263,-3.1163199677572555,1728046709157211924,
-4.865891933441162,1.769040822982788,-0.9999149441719055,0.012635920196771622,-3.116320008732391,1728046709204342590,
-4.865891933441162,1.769040822982788,-0.9999149441719055,0.012635909020900726,-3.1163200310824646,1728046709254993260,
-4.865891933441162,1.769040822982788,-0.9999148845672607,0.01263589970767498,-3.116320048201194,1728046709297922902,
-4.865891933441162,1.769040822982788,-0.9999148845672607,0.012635886669158936,-3.116320074276282,1728046709346992431,
-4.865891933441162,1.769040822982788,-0.9999148845672607,0.012635882012546062,-3.116320083588813,1728046709398006537,
