x, y, quat_z, quat_w, th, stamp, 
-1.9999364172058753,-0.5000010035605664,1.4560750449962905e-06,0.9999958915891127,2.9121620543488124e-06,103311000000,
-1.9999364059339613,-0.5000010036052277,1.4565290289564512e-06,0.999995890259279,2.9130700298733673e-06,103345000000,
-1.9999363901569607,-0.5000010035984461,1.4569855337112874e-06,0.9999958882631326,2.9139830489520463e-06,103379000000,
-1.9999363766272498,-0.5000010035895776,1.4574731586321e-06,0.9999958866496488,2.914958307506914e-06,103413000000,
-1.9999363629005389,-0.5000010036166297,1.457934062747497e-06,0.9999958849540641,2.915880124473584e-06,103447000000,
-1.9987816308237465,-0.5000010053182797,1.996491479464776e-06,0.9999960163815056,3.992998865508375e-06,103481000000,
-1.9964715840088105,-0.5000010060249503,2.2937751863836394e-06,0.999996260758438,4.587567526782398e-06,103515000000,
-1.9930060325618253,-0.5000010073113115,2.1333774203575792e-06,0.9999965752548124,4.266769453306837e-06,103549000000,
-1.9883850264750194,-0.5000010057591214,2.1523677901825883e-06,0.9999969417319003,4.304748745434294e-06,103583000000,
-1.9826085531885906,-0.500001000674912,2.3214444323040575e-06,0.9999973485267988,4.642901175127816e-06,103617000000,
-1.9756766061625526,-0.5000009946866358,2.3545924968902195e-06,0.9999977817869088,4.70919543977071e-06,103651000000,
-1.9675891813090443,-0.500000984209237,2.3679657172962473e-06,0.999998225725516,4.735939837440854e-06,103685000000,
-1.9583462744276945,-0.5000009648311795,2.4538997218917293e-06,0.9999986626752314,4.90780600710414e-06,103719000000,
-1.9479478813280868,-0.5000009368925096,2.5078604541364478e-06,0.9999990731371575,5.0157255571520275e-06,103753000000,
-1.9363939978953382,-0.5000009009615124,2.527979608897625e-06,0.9999994358288508,5.055962070212411e-06,103787000000,
-1.9236846212408647,-0.5000008542336369,2.583159157593728e-06,0.9999997277331752,5.166319721793431e-06,103821000000,
-1.9098197474521945,-0.5000007931454284,2.64991141930844e-06,0.9999999241478246,5.299823240607597e-06,103855000000,
-1.8947993723059937,-0.5000007158370373,2.691431486468257e-06,0.9999999987342434,5.382862979736911e-06,103889000000,
-1.8786234919785187,-0.500000620879723,2.727825705831457e-06,0.9999999235665998,5.455651828643402e-06,103923000000,
-1.8612921024037024,-0.5000005056267979,2.7741722937218587e-06,0.999999669181155,5.548346422927039e-06,103957000000,
-1.8428051997234631,-0.5000003674592121,2.8199969528094934e-06,0.9999992046255407,5.639998391514707e-06,103991000000,
-1.8231627802658683,-0.500000204230486,2.862225138449597e-06,0.9999984975079103,5.724458877837743e-06,104025000000,
-1.802364840586273,-0.5000000121436673,2.904587172632757e-06,0.9999975140461647,5.809188786624322e-06,104059000000,
-1.780411376807804,-0.4999997887012099,2.945227515198082e-06,0.9999962191171063,5.890477301583997e-06,104093000000,
-1.7573023844908158,-0.49999953134063474,2.9834103823790018e-06,0.9999945763054615,5.966853127129018e-06,104127000000,
-1.7330387891822079,-0.4999992358144442,3.0550009068022076e-06,0.999992559094225,6.110047277871482e-06,104161000000,
-1.7076205670083395,-0.4999988963957835,3.1987536437992237e-06,0.9999901880282713,6.397570060353191e-06,104195000000,
-1.6810468699614352,-0.49999851317469896,3.22459744649719e-06,0.9999874580462987,6.44927577949026e-06,104229000000,
-1.6533176444164386,-0.4999980866829713,3.215880026549248e-06,0.9999843600294323,6.431860647187541e-06,104263000000,
-1.6244329197508847,-0.49999761068244664,3.2504803296567527e-06,0.9999808854566509,6.501084924560216e-06,104297000000,
-1.5943927085887253,-0.4999970870392186,3.266891271451476e-06,0.9999770264382579,6.533932650584874e-06,104331000000,
-1.5631970158206465,-0.49999651637631065,3.256445601086592e-06,0.9999727757282324,6.513068515697474e-06,104365000000,
-1.5313823382711846,-0.5000415321921611,-0.0018236468891386795,0.9999666349178644,-0.0036474114309438953,104399000000,
-1.4989841030599782,-0.5003855967113687,-0.008921373070671543,0.9999238414133806,-0.017843631664218103,104433000000,
-1.4660005498983695,-0.5013539137200234,-0.020228597838881014,0.9997541977500168,-0.04046162156748678,104467000000,
-1.4324589885356864,-0.5031598482557186,-0.03404168766051107,0.9993742668457694,-0.06809967375100257,104501000000,
-1.398535028954362,-0.5060055454137217,-0.05095095294615314,0.998649965931893,-0.10195126373223354,104535000000,
-1.3647338390726893,-0.5100559481320638,-0.06940460027199168,0.997532460233004,-0.13892867564346906,104569000000,
-1.331103495104785,-0.5153519634918999,-0.08606243212868174,0.9962287977913424,-0.1723485476722234,104603000000,
-1.2976637889544365,-0.5217370598505604,-0.10220089661404963,0.994698151049937,-0.2047727218641036,104637000000,
-1.2644548611200188,-0.5292427017695034,-0.11943702211815217,0.9927715806787082,-0.23946242201233262,104671000000,
-1.231529301548846,-0.5379052213986006,-0.13663896761853037,0.9905462586636384,-0.2741559221103378,104705000000,
-1.1990475814368247,-0.5475989247243942,-0.15361360820872944,0.9880520514759811,-0.3084727654851603,104739000000,
-1.1669707135810208,-0.558459949079949,-0.1715268343443135,0.9850963742229192,-0.3447870291486208,104773000000,
-1.1354242901878688,-0.5704800706932124,-0.19006284326046388,0.981684888137437,-0.38248540068413645,104807000000,
-1.1044183915448451,-0.5836702875908223,-0.2089275596564572,0.977840271729256,-0.420994342724649,104841000000,
-1.0739834613881771,-0.5980349379156347,-0.2279522293009724,0.9735777951821375,-0.4599911404295131,104875000000,
-1.0441566897486652,-0.6135723651135516,-0.24703660430034902,0.9689080570125306,-0.4992902226506119,104909000000,
-1.0149763493152602,-0.630264281026409,-0.26612450824899847,0.9638371003285865,-0.5387946846376949,104943000000,
