x, y, theta, stamp, 
9.884331120701972e-06, 9.973984560929239e-06, -1.8710278255086568e-06, 1729866620607833282, 
9.884331120701972e-06, 9.973984560929239e-06, -1.8710278255086568e-06, 1729866620672401190, 
9.884331120701972e-06, 9.973984560929239e-06, -1.8710278255086568e-06, 1729866620706187549, 
0.00036043411819264293, 3.411047509871423e-05, 0.0002652311898650074, 1729866620767943075, 
0.003633823711425066, 0.0003416968393139541, 0.002208603508933092, 1729866620816734181, 
0.00889437273144722, 0.0004097337950952351, 0.007504529406212285, 1729866620865731884, 
0.015661243349313736, 0.0006930030067451298, 0.013952755008270151, 1729866620911723987, 
0.024531789124011993, 0.0008201265591196716, 0.02116356783075133, 1729866620959728825, 
0.03436059132218361, 0.0015948391519486904, 0.0319866054786321, 1729866621007741103, 
0.04629702866077423, 0.0023876982741057873, 0.044270951580698825, 1729866621055862907, 
0.06564327329397202, 0.003631932893767953, 0.06336713565287351, 1729866621120355843, 
0.07626279443502426, 0.004491807427257299, 0.07421468305865148, 1729866621151986601, 
0.09692990779876709, 0.006707570981234312, 0.09467017308165701, 1729866621216721781, 
0.12553538382053375, 0.010301555506885052, 0.12442165699067499, 1729866621311733062, 
0.15450316667556763, 0.01459638774394989, 0.15321223762749614, 1729866621407763913, 
0.18407265841960907, 0.020040739327669144, 0.18794405546700038, 1729866621503899144, 
0.21775531768798828, 0.027820196002721786, 0.26754292478293545, 1729866621617753609, 
0.2450307458639145, 0.03603733330965042, 0.3318173254632183, 1729866621711740855, 
0.27240249514579773, 0.04649582505226135, 0.3693537658316056, 1729866621807787858, 
0.29970940947532654, 0.05809866636991501, 0.4112633200489383, 1729866621904500874, 
0.3312392830848694, 0.07307470589876175, 0.48268051184984834, 1729866622017740771, 
0.3563312590122223, 0.0870341882109642, 0.546402575072906, 1729866622111746710, 
0.38088497519493103, 0.1028880625963211, 0.5983409670814825, 1729866622207780124, 
0.40498068928718567, 0.12049981206655502, 0.651467457951523, 1729866622303846461, 
0.43185168504714966, 0.14265862107276917, 0.6970501064321049, 1729866622417839690, 
