error, error_dot, error_int, stamp, 
0.4311352091304607, 0.0, 0.043029565522636884, 1729864142587563926, 
0.4311352796474039, 5.611008516324982e-07, 0.0400233425137413, 1729864142650401955, 
0.43113527964603965, 5.610850552771979e-07, 0.0457090491010988, 1729864142693584133, 
0.43113532329297394, 4.4723344288377084e-07, 0.03965455035530521, 1729864142742379000, 
0.4311353232916097, 4.47235724719418e-07, 0.0427979678521489, 1729864142792852198, 
0.4313953395054142, 0.0025533360852809314, 0.04372166538051957, 1729864142843769156, 
0.42872695770213326, -0.018244986693195766, 0.04952658374159229, 1729864142907918122, 
0.42106837043508205, -0.09744346821926804, 0.04873235005357003, 1729864142957879455, 
0.403988315560711, -0.17192386717189106, 0.05833996804507036, 1729864143047511508, 
0.3809703136933187, -0.2104165697060254, 0.07621708890288884, 1729864143147469959, 
0.3580326947375937, -0.2410388523831632, 0.07279038101516, 1729864143238563827, 
0.33103696381214903, -0.2621747116967964, 0.06782039466121251, 1729864143337613495, 
0.29703550368484033, -0.29111710000688884, 0.0686469643873527, 1729864143447406556, 
0.2692708364899655, -0.29369778210185715, 0.06274544344187546, 1729864143547384192, 
0.24402474564347182, -0.2767412228998677, 0.05173263100582543, 1729864143638930608, 
0.21924036070167163, -0.26297531086253456, 0.04654382820220165, 1729864143737998026, 
0.1941492197354665, -0.23952909738912376, 0.045732495307331616, 1729864143847623179, 
0.17306173361738825, -0.22009831947912992, 0.04093756219482832, 1729864143947414705, 
0.150827440937629, -0.2292142407043935, 0.032768986937552994, 1729864144037390891, 
0.12602665428037896, -0.2259669881160694, 0.031653291838046334, 1729864144158476129, 
0.12110137783383446, -0.13007192905043377, 0.02787186494332295, 1729864144247503832, 
0.12076646440693328, -0.029337517003960704, 0.02317001206878566, 1729864144347416265, 
0.1291371765173206, 0.044812585818072376, 0.023489826845187033, 1729864144437445954, 
0.1414530228048536, 0.11036980807896836, 0.024319710974732896, 1729864144533842458, 
0.15128152823884522, 0.10563654473523909, 0.030105899063718935, 1729864144651534008, 
0.16775211832538262, 0.13137845837367393, 0.03216954254275037, 1729864144743422092, 
0.18267516606140133, 0.16574197528582424, 0.03176029274326007, 1729864144841446714, 
